aggregation,geography_code,variable,value
BY_LA,E07000041,tickets_sold,25
BY_LA,E07000042,tickets_sold,8
BY_LA,E07000043,tickets_sold,2
BY_LA,E07000044,tickets_sold,3
BY_LA,E07000061,tickets_sold,2
BY_LA,E07000062,tickets_sold,33
BY_LA,E07000063,tickets_sold,2
BY_LA,E07000064,tickets_sold,8
BY_LA,E07000065,tickets_sold,20
BY_LA,E07000066,tickets_sold,2
BY_LA,E07000067,tickets_sold,10
BY_LA,E07000068,tickets_sold,6
BY_LA,E07000070,tickets_sold,15
BY_LA,E07000071,tickets_sold,22
BY_LA,E07000072,tickets_sold,37
BY_LA,E07000073,tickets_sold,2
BY_LA,E07000074,tickets_sold,5
BY_LA,E07000075,tickets_sold,8
BY_LA,E07000076,tickets_sold,13
BY_LA,E07000077,tickets_sold,16
BY_LA,E07000078,tickets_sold,27
BY_LA,E07000079,tickets_sold,10
BY_LA,E07000080,tickets_sold,2
BY_LA,E07000081,tickets_sold,11
BY_LA,E07000082,tickets_sold,16
BY_LA,E07000083,tickets_sold,7
BY_LA,E07000084,tickets_sold,10
BY_LA,E07000085,tickets_sold,33
BY_LA,E07000086,tickets_sold,6
BY_LA,E07000087,tickets_sold,4
BY_LA,E07000088,tickets_sold,4
BY_LA,E07000089,tickets_sold,6
BY_LA,E07000090,tickets_sold,2
BY_LA,E07000091,tickets_sold,7
BY_LA,E07000092,tickets_sold,3
BY_LA,E07000093,tickets_sold,8
BY_LA,E07000094,tickets_sold,14
BY_LA,E07000095,tickets_sold,1
BY_LA,E07000096,tickets_sold,20
BY_LA,E07000099,tickets_sold,34
BY_LA,E07000102,tickets_sold,8
BY_LA,E07000103,tickets_sold,7
BY_LA,E07000105,tickets_sold,7
BY_LA,E07000106,tickets_sold,38
BY_LA,E07000107,tickets_sold,2
BY_LA,E07000108,tickets_sold,11
BY_LA,E07000109,tickets_sold,4
BY_LA,E07000110,tickets_sold,15
BY_LA,E07000111,tickets_sold,19
BY_LA,E07000112,tickets_sold,9
BY_LA,E07000113,tickets_sold,6
BY_LA,E07000114,tickets_sold,7
BY_LA,E07000115,tickets_sold,9
BY_LA,E07000116,tickets_sold,18
BY_LA,E07000117,tickets_sold,89
BY_LA,E07000118,tickets_sold,83
BY_LA,E07000119,tickets_sold,37
BY_LA,E07000120,tickets_sold,83
BY_LA,E07000121,tickets_sold,162
BY_LA,E07000122,tickets_sold,350
BY_LA,E07000123,tickets_sold,73
BY_LA,E07000124,tickets_sold,198
BY_LA,E07000125,tickets_sold,90
BY_LA,E07000126,tickets_sold,78
BY_LA,E07000127,tickets_sold,53
BY_LA,E07000128,tickets_sold,52
BY_LA,E07000129,tickets_sold,8
BY_LA,E07000130,tickets_sold,65
BY_LA,E07000131,tickets_sold,35
BY_LA,E07000132,tickets_sold,32
BY_LA,E07000133,tickets_sold,6
BY_LA,E07000134,tickets_sold,17
BY_LA,E07000135,tickets_sold,6
BY_LA,E07000136,tickets_sold,4
BY_LA,E07000137,tickets_sold,33
BY_LA,E07000138,tickets_sold,29
BY_LA,E07000139,tickets_sold,37
BY_LA,E07000140,tickets_sold,17
BY_LA,E07000141,tickets_sold,34
BY_LA,E07000142,tickets_sold,48
BY_LA,E07000143,tickets_sold,10
BY_LA,E07000144,tickets_sold,12
BY_LA,E07000145,tickets_sold,11
BY_LA,E07000146,tickets_sold,7
BY_LA,E07000147,tickets_sold,6
BY_LA,E07000148,tickets_sold,37
BY_LA,E07000149,tickets_sold,20
BY_LA,E07000170,tickets_sold,23
BY_LA,E07000171,tickets_sold,93
BY_LA,E07000172,tickets_sold,24
BY_LA,E07000173,tickets_sold,50
BY_LA,E07000174,tickets_sold,17
BY_LA,E07000175,tickets_sold,71
BY_LA,E07000176,tickets_sold,65
BY_LA,E07000177,tickets_sold,22
BY_LA,E07000178,tickets_sold,37
BY_LA,E07000179,tickets_sold,35
BY_LA,E07000180,tickets_sold,34
BY_LA,E07000181,tickets_sold,14
BY_LA,E07000192,tickets_sold,2
BY_LA,E07000193,tickets_sold,21
BY_LA,E07000194,tickets_sold,14
BY_LA,E07000195,tickets_sold,15
BY_LA,E07000196,tickets_sold,15
BY_LA,E07000197,tickets_sold,35
BY_LA,E07000198,tickets_sold,32
BY_LA,E07000199,tickets_sold,1
BY_LA,E07000200,tickets_sold,4
BY_LA,E07000202,tickets_sold,22
BY_LA,E07000203,tickets_sold,3
BY_LA,E07000207,tickets_sold,18
BY_LA,E07000208,tickets_sold,6
BY_LA,E07000209,tickets_sold,18
BY_LA,E07000210,tickets_sold,23
BY_LA,E07000211,tickets_sold,6
BY_LA,E07000212,tickets_sold,9
BY_LA,E07000213,tickets_sold,13
BY_LA,E07000214,tickets_sold,12
BY_LA,E07000215,tickets_sold,26
BY_LA,E07000216,tickets_sold,34
BY_LA,E07000217,tickets_sold,12
BY_LA,E07000218,tickets_sold,4
BY_LA,E07000219,tickets_sold,24
BY_LA,E07000220,tickets_sold,44
BY_LA,E07000221,tickets_sold,41
BY_LA,E07000222,tickets_sold,55
BY_LA,E07000223,tickets_sold,5
BY_LA,E07000224,tickets_sold,6
BY_LA,E07000225,tickets_sold,16
BY_LA,E07000226,tickets_sold,2
BY_LA,E07000227,tickets_sold,29
BY_LA,E07000228,tickets_sold,6
BY_LA,E07000229,tickets_sold,13
BY_LA,E07000234,tickets_sold,28
BY_LA,E07000235,tickets_sold,6
BY_LA,E07000236,tickets_sold,6
BY_LA,E07000237,tickets_sold,11
BY_LA,E07000238,tickets_sold,12
BY_LA,E07000239,tickets_sold,10
BY_LA,E07000240,tickets_sold,45
BY_LA,E07000241,tickets_sold,24
BY_LA,E07000242,tickets_sold,25
BY_LA,E07000244,tickets_sold,80
BY_LA,E07000245,tickets_sold,14
BY_LA,E08000001,tickets_sold,131
BY_LA,E08000002,tickets_sold,467
BY_LA,E08000003,tickets_sold,888
BY_LA,E08000004,tickets_sold,216
BY_LA,E08000005,tickets_sold,199
BY_LA,E08000006,tickets_sold,129
BY_LA,E08000007,tickets_sold,288
BY_LA,E08000008,tickets_sold,188
BY_LA,E08000009,tickets_sold,346
BY_LA,E08000010,tickets_sold,106
BY_LA,E08000011,tickets_sold,12
BY_LA,E08000012,tickets_sold,262
BY_LA,E08000013,tickets_sold,52
BY_LA,E08000014,tickets_sold,124
BY_LA,E08000015,tickets_sold,103
BY_LA,E08000016,tickets_sold,385
BY_LA,E08000017,tickets_sold,314
BY_LA,E08000018,tickets_sold,443
BY_LA,E08000019,tickets_sold,1325
BY_LA,E08000021,tickets_sold,104
BY_LA,E08000022,tickets_sold,74
BY_LA,E08000023,tickets_sold,2
BY_LA,E08000024,tickets_sold,43
BY_LA,E08000025,tickets_sold,151
BY_LA,E08000026,tickets_sold,70
BY_LA,E08000027,tickets_sold,38
BY_LA,E08000028,tickets_sold,14
BY_LA,E08000029,tickets_sold,33
BY_LA,E08000030,tickets_sold,10
BY_LA,E08000031,tickets_sold,15
BY_LA,E08000032,tickets_sold,81929
BY_LA,E08000033,tickets_sold,7636
BY_LA,E08000034,tickets_sold,5202
BY_LA,E08000035,tickets_sold,20298
BY_LA,E08000036,tickets_sold,1236
BY_LA,E08000037,tickets_sold,57
BY_LA,E09000001,tickets_sold,2
BY_LA,E09000002,tickets_sold,4
BY_LA,E09000003,tickets_sold,41
BY_LA,E09000004,tickets_sold,19
BY_LA,E09000005,tickets_sold,28
BY_LA,E09000006,tickets_sold,41
BY_LA,E09000007,tickets_sold,62
BY_LA,E09000008,tickets_sold,44
BY_LA,E09000009,tickets_sold,78
BY_LA,E09000010,tickets_sold,36
BY_LA,E09000011,tickets_sold,50
BY_LA,E09000012,tickets_sold,105
BY_LA,E09000013,tickets_sold,29
BY_LA,E09000014,tickets_sold,110
BY_LA,E09000015,tickets_sold,17
BY_LA,E09000016,tickets_sold,6
BY_LA,E09000017,tickets_sold,14
BY_LA,E09000018,tickets_sold,11
BY_LA,E09000019,tickets_sold,52
BY_LA,E09000020,tickets_sold,34
BY_LA,E09000021,tickets_sold,14
BY_LA,E09000022,tickets_sold,77
BY_LA,E09000023,tickets_sold,59
BY_LA,E09000024,tickets_sold,16
BY_LA,E09000025,tickets_sold,25
BY_LA,E09000026,tickets_sold,38
BY_LA,E09000027,tickets_sold,41
BY_LA,E09000028,tickets_sold,246
BY_LA,E09000029,tickets_sold,14
BY_LA,E09000030,tickets_sold,43
BY_LA,E09000031,tickets_sold,59
BY_LA,E09000032,tickets_sold,73
BY_LA,E09000033,tickets_sold,34
BY_LA,MISSING,tickets_sold,78873
BY_LA,N09000001,tickets_sold,4
BY_LA,N09000002,tickets_sold,1
BY_LA,N09000003,tickets_sold,19
BY_LA,N09000005,tickets_sold,10
BY_LA,N09000006,tickets_sold,2
BY_LA,N09000007,tickets_sold,7
BY_LA,N09000008,tickets_sold,9
BY_LA,N09000011,tickets_sold,21
BY_LA,S12000005,tickets_sold,8
BY_LA,S12000006,tickets_sold,7
BY_LA,S12000008,tickets_sold,1
BY_LA,S12000010,tickets_sold,26
BY_LA,S12000011,tickets_sold,11
BY_LA,S12000013,tickets_sold,3
BY_LA,S12000014,tickets_sold,10
BY_LA,S12000017,tickets_sold,37
BY_LA,S12000018,tickets_sold,7
BY_LA,S12000019,tickets_sold,6
BY_LA,S12000020,tickets_sold,6
BY_LA,S12000021,tickets_sold,5
BY_LA,S12000023,tickets_sold,3
BY_LA,S12000026,tickets_sold,19
BY_LA,S12000028,tickets_sold,2
BY_LA,S12000029,tickets_sold,12
BY_LA,S12000030,tickets_sold,4
BY_LA,S12000033,tickets_sold,17
BY_LA,S12000034,tickets_sold,8
BY_LA,S12000036,tickets_sold,187
BY_LA,S12000038,tickets_sold,5
BY_LA,S12000039,tickets_sold,1
BY_LA,S12000040,tickets_sold,2
BY_LA,S12000041,tickets_sold,6
BY_LA,S12000042,tickets_sold,9
BY_LA,S12000045,tickets_sold,7
BY_LA,S12000047,tickets_sold,20
BY_LA,S12000048,tickets_sold,15
BY_LA,S12000049,tickets_sold,157
BY_LA,S12000050,tickets_sold,14
BY_LA,UNMATCHED,tickets_sold,586
BY_LA,W06000001,tickets_sold,15
BY_LA,W06000002,tickets_sold,31
BY_LA,W06000003,tickets_sold,38
BY_LA,W06000004,tickets_sold,17
BY_LA,W06000005,tickets_sold,24
BY_LA,W06000006,tickets_sold,21
BY_LA,W06000008,tickets_sold,6
BY_LA,W06000009,tickets_sold,2
BY_LA,W06000010,tickets_sold,4
BY_LA,W06000011,tickets_sold,17
BY_LA,W06000012,tickets_sold,10
BY_LA,W06000013,tickets_sold,3
BY_LA,W06000014,tickets_sold,12
BY_LA,W06000015,tickets_sold,76
BY_LA,W06000016,tickets_sold,9
BY_LA,W06000018,tickets_sold,5
BY_LA,W06000020,tickets_sold,6
BY_LA,W06000021,tickets_sold,15
BY_LA,W06000022,tickets_sold,15
BY_LA,W06000023,tickets_sold,12
BY_WARD,E05001341,tickets_sold,4573
BY_WARD,E05001342,tickets_sold,8316
BY_WARD,E05001343,tickets_sold,4844
BY_WARD,E05001344,tickets_sold,1781
BY_WARD,E05001345,tickets_sold,1273
BY_WARD,E05001346,tickets_sold,271
BY_WARD,E05001347,tickets_sold,4193
BY_WARD,E05001348,tickets_sold,1612
BY_WARD,E05001349,tickets_sold,1888
BY_WARD,E05001350,tickets_sold,1436
BY_WARD,E05001351,tickets_sold,956
BY_WARD,E05001352,tickets_sold,3766
BY_WARD,E05001353,tickets_sold,2847
BY_WARD,E05001354,tickets_sold,3183
BY_WARD,E05001355,tickets_sold,707
BY_WARD,E05001356,tickets_sold,2726
BY_WARD,E05001357,tickets_sold,1176
BY_WARD,E05001358,tickets_sold,577
BY_WARD,E05001359,tickets_sold,690
BY_WARD,E05001360,tickets_sold,1368
BY_WARD,E05001361,tickets_sold,1508
BY_WARD,E05001362,tickets_sold,17281
BY_WARD,E05001363,tickets_sold,3518
BY_WARD,E05001364,tickets_sold,1152
BY_WARD,E05001365,tickets_sold,996
BY_WARD,E05001366,tickets_sold,2208
BY_WARD,E05001367,tickets_sold,1236
BY_WARD,E05001368,tickets_sold,1987
BY_WARD,E05001369,tickets_sold,2586
BY_WARD,E05001370,tickets_sold,1274
BY_WARD,OTHER,tickets_sold,139648
BY_POSTCODE,BD1,tickets_sold,3557
BY_POSTCODE,BD10,tickets_sold,3298
BY_POSTCODE,BD11,tickets_sold,2
BY_POSTCODE,BD12,tickets_sold,1394
BY_POSTCODE,BD13,tickets_sold,4269
BY_POSTCODE,BD14,tickets_sold,1045
BY_POSTCODE,BD15,tickets_sold,2447
BY_POSTCODE,BD16,tickets_sold,11011
BY_POSTCODE,BD17,tickets_sold,6283
BY_POSTCODE,BD18,tickets_sold,17817
BY_POSTCODE,BD2,tickets_sold,3141
BY_POSTCODE,BD20,tickets_sold,4070
BY_POSTCODE,BD21,tickets_sold,1004
BY_POSTCODE,BD22,tickets_sold,3571
BY_POSTCODE,BD3,tickets_sold,885
BY_POSTCODE,BD4,tickets_sold,1708
BY_POSTCODE,BD5,tickets_sold,1098
BY_POSTCODE,BD6,tickets_sold,2653
BY_POSTCODE,BD7,tickets_sold,1579
BY_POSTCODE,BD8,tickets_sold,1209
BY_POSTCODE,BD9,tickets_sold,4061
BY_POSTCODE,HX3,tickets_sold,8
BY_POSTCODE,LS19,tickets_sold,10
BY_POSTCODE,LS29,tickets_sold,5809
BY_POSTCODE,OTHER,tickets_sold,139648
